Year,State,State Code,Deaths,Population,Crude Rate
1985,Arkansas,5,1421,2328082,61.0
1985,California,6,12078,26488512,45.6
1985,Colorado,8,915,3211081,28.5
1985,Connecticut,9,1658,3204314,51.7
1985,Delaware,10,366,618730,59.2
1985,District of Columbia,11,370,636435,58.1
1985,Florida,12,8246,11368628,72.5
1985,Georgia,13,2873,5968250,48.1
1985,Hawaii,15,318,1040309,30.6
1985,Idaho,16,319,993122,32.1
1985,Illinois,17,6031,11405963,52.9
1985,Indiana,18,3145,5460017,57.6
1985,Iowa,19,1471,2828452,52.0
1985,Kansas,20,1157,2427892,47.7
1985,Kentucky,21,2353,3693608,63.7
1985,Louisiana,22,2366,4410832,53.6
1985,Maine,23,668,1163300,57.4
1985,Maryland,24,2393,4418431,54.2
1985,Massachusetts,25,3129,5888059,53.1
1985,Michigan,26,4578,9080608,50.4
1985,Minnesota,27,1600,4185589,38.2
1985,Mississippi,28,1365,2587595,52.8
1985,Missouri,29,2954,5002627,59.0
1985,Montana,30,336,821606,40.9
1985,Nebraska,31,748,1584368,47.2
1985,Nevada,32,522,951751,54.8
1985,New Hampshire,33,515,998254,51.6
1985,New Jersey,34,4343,7574114,57.3
1985,New Mexico,35,441,1439684,30.6
1985,New York,36,9233,17812033,51.8
1985,North Carolina,37,3105,6258979,49.6
1985,North Dakota,38,252,676853,37.2
1985,Ohio,39,6246,10736928,58.2
1985,Oklahoma,40,1814,3269949,55.5
1985,Oregon,41,1493,2672205,55.9
1985,Pennsylvania,42,7030,11776308,59.7
1985,Rhode Island,44,593,969638,61.2
1985,South Carolina,45,1538,3304946,46.5
1985,South Dakota,46,323,698330,46.3
1985,Tennessee,47,2733,4717235,57.9
1985,Texas,48,6481,16294915,39.8
1985,Utah,49,237,1641813,14.4
1985,Vermont,50,254,530151,47.9
1985,Virginia,51,3008,5721491,52.6
1985,Washington,53,2195,4402035,49.9
1985,West Virginia,54,1302,1905477,68.3
1985,Wisconsin,55,2027,4749522,42.7
1985,Wyoming,56,137,499098,27.4
1986,Alabama,1,2339,3993162,58.6
1986,Alaska,2,148,544113,27.2
1986,Arizona,4,1521,3315309,45.9
1986,Arkansas,5,1570,2332608,67.3
1986,California,6,12113,27149692,44.6
1986,Colorado,8,1062,3239353,32.8
1986,Connecticut,9,1626,3226567,50.4
1986,Delaware,10,363,628001,57.8
1986,District of Columbia,11,403,640289,62.9
1986,Florida,12,8481,11682730,72.6
1986,Georgia,13,2997,6090642,49.2
1986,Hawaii,15,347,1052609,33.0
1986,Idaho,16,384,988853,38.8
1986,Illinois,17,6008,11390893,52.7
1986,Indiana,18,3120,5454341,57.2
1986,Iowa,19,1461,2789767,52.4
1986,Kansas,20,1179,2433204,48.5
1986,Kentucky,21,2400,3686796,65.1
1986,Louisiana,22,2377,4407247,53.9
1986,Maine,23,704,1170191,60.2
1986,Maryland,24,2421,4491956,53.9
1986,Massachusetts,25,3218,5908572,54.5
1986,Michigan,26,4553,9131461,49.9
1986,Minnesota,27,1669,4205059,39.7
1986,Mississippi,28,1410,2592534,54.4
1986,Missouri,29,3122,5023917,62.1
1986,Montana,30,349,812728,42.9
1986,Nebraska,31,785,1573401,49.9
1986,Nevada,32,585,981594,59.6
1986,New Hampshire,33,514,1026391,50.1
1986,New Jersey,34,4393,7631703,57.6
1986,New Mexico,35,462,1463653,31.6
1986,New York,36,9285,17855619,52.0
1986,North Carolina,37,3211,6326197,50.8
1986,North Dakota,38,252,668770,37.7
1986,Ohio,39,6237,10731362,58.1
1986,Oklahoma,40,1929,3249991,59.4
1986,Oregon,41,1578,2683141,58.8
1986,Pennsylvania,42,6983,11787507,59.2
1986,Rhode Island,44,582,978176,59.5
1986,South Carolina,45,1654,3344298,49.5
1986,South Dakota,46,345,695608,49.6
1986,Tennessee,47,2875,4740418,60.6
1986,Texas,48,6876,16578053,41.5
1986,Utah,49,275,1661876,16.5
1986,Vermont,50,277,534224,51.9
1986,Virginia,51,3207,5817306,55.1
1986,Washington,53,2276,4453602,51.1
1986,West Virginia,54,1331,1881152,70.8
1986,Wisconsin,55,2106,4755750,44.3
1986,Wyoming,56,159,494693,32.1
1987,Alabama,1,2434,4017181,60.6
1987,Alaska,2,137,538774,25.4
1987,Arizona,4,1755,3444621,50.9
1987,Arkansas,5,1715,2343274,73.2
1987,California,6,12630,27834578,45.4
1987,Colorado,8,1055,3261010,32.4
1987,Connecticut,9,1710,3251130,52.6
1987,Delaware,10,363,637508,56.9
1987,District of Columbia,11,373,639144,58.4
1987,Florida,12,8937,12014726,74.4
1987,Georgia,13,3080,6216909,49.5
1987,Hawaii,15,367,1069296,34.3
1987,Idaho,16,365,983879,37.1
1987,Illinois,17,6194,11400420,54.3
1987,Indiana,18,3119,5472984,57.0
1987,Iowa,19,1498,2765297,54.2
1987,Kansas,20,1246,2445357,51.0
1987,Kentucky,21,2475,3683045,67.2
1987,Louisiana,22,2448,4343172,56.4
1987,Maine,23,709,1184645,59.8
1987,Maryland,24,2602,4571635,56.9
1987,Massachusetts,25,3243,5941484,54.6
1987,Michigan,26,4832,9192919,52.6
1987,Minnesota,27,1781,4234621,42.1
1987,Mississippi,28,1563,2588225,60.4
1987,Missouri,29,3184,5057592,63.0
1987,Montana,30,372,804102,46.3
1987,Nebraska,31,768,1565620,49.1
1987,Nevada,32,622,1024508,60.7
1987,New Hampshire,33,521,1056137,49.3
1987,New Jersey,34,4432,7682247,57.7
1987,New Mexico,35,476,1479456,32.2
1987,New York,36,9406,17896387,52.6
1987,North Carolina,37,3426,6410298,53.4
1987,North Dakota,38,276,660408,41.8
1987,Ohio,39,6385,10761881,59.3
1987,Oklahoma,40,1914,3206611,59.7
1987,Oregon,41,1581,2700862,58.5
1987,Pennsylvania,42,7487,11816661,63.4
1987,Rhode Island,44,599,990695,60.5
1987,South Carolina,45,1743,3383016,51.5
1987,South Dakota,46,329,695832,47.3
1987,Tennessee,47,3073,4786279,64.2
1987,Texas,48,7128,16635523,42.8
1987,Utah,49,293,1677020,17.5
1987,Vermont,50,275,540359,50.9
1987,Virginia,51,3108,5938705,52.3
1987,Washington,53,2281,4532945,50.3
1987,West Virginia,54,1353,1856624,72.9
1987,Wisconsin,55,2172,4776638,45.5
1987,Wyoming,56,174,475750,36.6
1988,Alabama,1,2512,4027045,62.4
1988,Alaska,2,147,541504,27.1
1988,Arizona,4,1837,3543501,51.8
1988,Arkansas,5,1745,2344127,74.4
1988,California,6,12824,28538528,44.9
1988,Colorado,8,1039,3263281,31.8
1988,Connecticut,9,1744,3275681,53.2
1988,Delaware,10,419,648489,64.6
1988,District of Columbia,11,384,633081,60.7
1988,Florida,12,9193,12326923,74.6
1988,Georgia,13,3218,6325549,50.9
1988,Hawaii,15,375,1081823,34.7
1988,Idaho,16,395,984942,40.1
1988,Illinois,17,6257,11404558,54.9
1988,Indiana,18,3338,5494747,60.7
1988,Iowa,19,1662,2767561,60.1
1988,Kansas,20,1337,2462513,54.3
1988,Kentucky,21,2659,3680399,72.2
1988,Louisiana,22,2542,4290471,59.2
1988,Maine,23,759,1204034,63.0
1988,Maryland,24,2650,4664719,56.8
1988,Massachusetts,25,3314,5988121,55.3
1988,Michigan,26,4914,9220559,53.3
1988,Minnesota,27,1816,4296514,42.3
1988,Mississippi,28,1578,2581921,61.1
1988,Missouri,29,3190,5084041,62.7
1988,Montana,30,410,799194,51.3
1988,Nebraska,31,787,1570938,50.1
1988,Nevada,32,717,1076531,66.6
1988,New Hampshire,33,537,1083938,49.5
1988,New Jersey,34,4419,7725411,57.2
1988,New Mexico,35,496,1491143,33.3
1988,New York,36,9467,17973645,52.7
1988,North Carolina,37,3671,6489369,56.6
1988,North Dakota,38,276,654883,42.1
1988,Ohio,39,6526,10802549,60.4
1988,Oklahoma,40,1975,3165891,62.4
1988,Oregon,41,1661,2742357,60.6
1988,Pennsylvania,42,7397,11853242,62.4
1988,Rhode Island,44,613,997406,61.5
1988,South Carolina,45,1793,3416448,52.5
1988,South Dakota,46,319,697830,45.7
1988,Tennessee,47,3061,4827504,63.4
1988,Texas,48,7399,16686059,44.3
1988,Utah,49,257,1690185,15.2
1988,Vermont,50,258,549762,46.9
1988,Virginia,51,3216,6044002,53.2
1988,Washington,53,2339,4641797,50.4
1988,West Virginia,54,1372,1829578,75.0
1988,Wisconsin,55,2296,4820818,47.6
1988,Wyoming,56,174,464337,37.5
1989,Alabama,1,2541,4034980,63.0
1989,Alaska,2,130,547442,23.7
1989,Arizona,4,1742,3629959,48.0
1989,Arkansas,5,1717,2348699,73.1
1989,California,6,13158,29309226,44.9
1989,Colorado,8,1113,3276660,34.0
1989,Connecticut,9,1802,3287127,54.8
1989,Delaware,10,420,659194,63.7
1989,District of Columbia,11,395,628088,62.9
1989,Florida,12,9881,12660706,78.0
1989,Georgia,13,3327,6421599,51.8
1989,Hawaii,15,370,1096941,33.7
1989,Idaho,16,414,994027,41.6
1989,Illinois,17,6408,11428341,56.1
1989,Indiana,18,3372,5527092,61.0
1989,Iowa,19,1600,2770681,57.7
1989,Kansas,20,1356,2473223,54.8
1989,Kentucky,21,2702,3680272,73.4
1989,Louisiana,22,2580,4255514,60.6
1989,Maine,23,808,1220123,66.2
1989,Maryland,24,2629,4734189,55.5
1989,Massachusetts,25,3431,6024327,57.0
1989,Michigan,26,4986,9261707,53.8
1989,Minnesota,27,1814,4338139,41.8
1989,Mississippi,28,1615,2577300,62.7
1989,Missouri,29,3414,5099228,67.0
1989,Montana,30,386,799006,48.3
1989,Nebraska,31,826,1574764,52.5
1989,Nevada,32,668,1139274,58.6
1989,New Hampshire,33,612,1105559,55.4
1989,New Jersey,34,4591,7740291,59.3
1989,New Mexico,35,526,1505199,34.9
1989,New York,36,9644,18020427,53.5
1989,North Carolina,37,3844,6575819,58.5
1989,North Dakota,38,272,645879,42.1
1989,Ohio,39,6631,10834811,61.2
1989,Oklahoma,40,2080,3150823,66.0
1989,Oregon,41,1725,2791767,61.8
1989,Pennsylvania,42,7539,11874141,63.5
1989,Rhode Island,44,645,1001925,64.4
1989,South Carolina,45,1889,3462182,54.6
1989,South Dakota,46,334,696513,48.0
1989,Tennessee,47,3167,4860544,65.2
1989,Texas,48,7819,16832321,46.5
