Year,State,State Code,Deaths,Population,Crude Rate
1974,District of Columbia,11,315,721455,43.7
1974,Florida,12,4410,8313595,53.0
1974,Georgia,13,1520,4991975,30.4
1974,Hawaii,15,198,867287,22.8
1974,Idaho,16,190,808689,23.5
1974,Illinois,17,4254,11267972,37.8
1974,Indiana,18,1908,5345260,35.7
1974,Iowa,19,981,2864525,34.2
1974,Kansas,20,829,2267286,36.6
1974,Kentucky,21,1455,3415077,42.6
1974,Louisiana,22,1527,3820285,40.0
1974,Maine,23,421,1058587,39.8
1974,Maryland,24,1586,4125689,38.4
1974,Massachusetts,25,2252,5766566,39.1
1974,Michigan,26,3096,9097691,34.0
1974,Minnesota,27,1039,3893567,26.7
1974,Mississippi,28,903,2379443,38.0
1974,Missouri,29,1961,4783368,41.0
1974,Montana,30,244,737705,33.1
1974,Nebraska,31,461,1537423,30.0
1974,Nevada,32,208,596322,34.9
1974,New Hampshire,33,322,815876,39.5
1974,New Jersey,34,2945,7325355,40.2
1974,New Mexico,35,240,1130546,21.2
1974,New York,36,7256,18054173,40.2
1974,North Carolina,37,1619,5458486,29.7
1974,North Dakota,38,162,634087,25.5
1974,Ohio,39,4088,10755416,38.0
1974,Oklahoma,40,1121,2732842,41.0
1974,Oregon,41,843,2279739,37.0
1974,Pennsylvania,42,4694,11849213,39.6
1974,Rhode Island,44,373,951680,39.2
1974,South Carolina,45,857,2843088,30.1
1974,South Dakota,46,188,680130,27.6
1974,Tennessee,47,1595,4200625,38.0
1974,Texas,48,4454,12269942,36.3
1974,Utah,49,172,1201191,14.3
1974,Vermont,50,183,472496,38.7
1974,Virginia,51,1807,4973785,36.3
1974,Washington,53,1339,3545762,37.8
1974,West Virginia,54,788,1813582,43.4
1974,Wisconsin,55,1384,4533260,30.5
1974,Wyoming,56,94,364827,25.8
1975,Alabama,1,1394,3679228,37.9
1975,Alaska,2,55,371084,14.8
1975,Arizona,4,750,2286975,32.8
1975,Arkansas,5,946,2158071,43.8
1975,California,6,8001,21548964,37.1
1975,Colorado,8,574,2586234,22.2
1975,Connecticut,9,1224,3080526,39.7
1975,Delaware,10,232,588301,39.4
1975,District of Columbia,11,311,711443,43.7
1975,Florida,12,4562,8533593,53.5
1975,Georgia,13,1649,5053521,32.6
1975,Hawaii,15,201,885427,22.7
1975,Idaho,16,209,832916,25.1
1975,Illinois,17,4444,11305605,39.3
1975,Indiana,18,1979,5347917,37.0
1975,Iowa,19,1070,2880315,37.1
1975,Kansas,20,852,2279704,37.4
1975,Kentucky,21,1496,3468209,43.1
1975,Louisiana,22,1556,3889528,40.0
1975,Maine,23,394,1072253,36.7
1975,Maryland,24,1641,4151738,39.5
1975,Massachusetts,25,2278,5754521,39.6
1975,Michigan,26,3242,9097733,35.6
1975,Minnesota,27,1067,3923380,27.2
1975,Mississippi,28,886,2400734,36.9
1975,Missouri,29,2109,4793956,44.0
1975,Montana,30,220,749357,29.4
1975,Nebraska,31,509,1541485,33.0
1975,Nevada,32,235,619539,37.9
1975,New Hampshire,33,316,828531,38.1
1975,New Jersey,34,3145,7333189,42.9
1975,New Mexico,35,253,1163117,21.8
1975,New York,36,7380,18022195,40.9
1975,North Carolina,37,1729,5530369,31.3
1975,North Dakota,38,154,639175,24.1
1975,Ohio,39,4420,10763595,41.1
1975,Oklahoma,40,1161,2772274,41.9
1975,Oregon,41,933,2324397,40.1
1975,Pennsylvania,42,4997,11886651,42.0
1975,Rhode Island,44,422,944504,44.7
1975,South Carolina,45,895,2898414,30.9
1975,South Dakota,46,196,681892,28.7
1975,Tennessee,47,1603,4258539,37.6
1975,Texas,48,4534,12573557,36.1
1975,Utah,49,170,1237028,13.7
1975,Vermont,50,161,479271,33.6
1975,Virginia,51,1814,5052500,35.9
1975,Washington,53,1353,3618410,37.4
1975,West Virginia,54,825,1840261,44.8
1975,Wisconsin,55,1381,4566799,30.2
1975,Wyoming,56,112,380959,29.4
1976,Alabama,1,1465,3737368,39.2
1976,Alaska,2,56,393479,14.2
1976,Arizona,4,840,2349986,35.7
1976,Arkansas,5,963,2169513,44.4
1976,California,6,8394,21964973,38.2
1976,Colorado,8,611,2634229,23.2
1976,Connecticut,9,1237,3083472,40.1
1976,Delaware,10,237,592492,40.0
1976,District of Columbia,11,335,697977,48.0
1976,Florida,12,5029,8691113,57.9
1976,Georgia,13,1792,5123790,35.0
1976,Hawaii,15,213,903966,23.6
1976,Idaho,16,255,858825,29.7
1976,Illinois,17,4564,11365790,40.2
1976,Indiana,18,2121,5370062,39.5
1976,Iowa,19,1159,2903695,39.9
1976,Kansas,20,929,2301610,40.4
1976,Kentucky,21,1491,3531722,42.2
1976,Louisiana,22,1646,3956566,41.6
1976,Maine,23,492,1089227,45.2
1976,Maryland,24,1783,4169157,42.8
1976,Massachusetts,25,2345,5743282,40.8
1976,Michigan,26,3380,9111274,37.1
1976,Minnesota,27,1176,3955847,29.7
1976,Mississippi,28,909,2431473,37.4
1976,Missouri,29,2209,4824689,45.8
1976,Montana,30,254,759468,33.4
1976,Nebraska,31,495,1549724,31.9
1976,Nevada,32,254,647234,39.2
1976,New Hampshire,33,354,846159,41.8
1976,New Jersey,34,3233,7339629,44.0
1976,New Mexico,35,298,1196730,24.9
1976,New York,36,7621,17975450,42.4
1976,North Carolina,37,1818,5592125,32.5
1976,North Dakota,38,157,646184,24.3
1976,Ohio,39,4609,10750198,42.9
1976,Oklahoma,40,1305,2825313,46.2
1976,Oregon,41,995,2373590,41.9
1976,Pennsylvania,42,5111,11883050,43.0
1976,Rhode Island,44,445,949169,46.9
1976,South Carolina,45,963,2942442,32.7
1976,South Dakota,46,234,687878,34.0
1976,Tennessee,47,1802,4329037,41.6
1976,Texas,48,4779,12914151,37.0
1976,Utah,49,187,1278329,14.6
1976,Vermont,50,180,484840,37.1
1976,Virginia,51,1880,5131164,36.6
1976,Washington,53,1469,3692514,39.8
1976,West Virginia,54,849,1878179,45.2
1976,Wisconsin,55,1370,4583864,29.9
1976,Wyoming,56,119,396140,30.0
1977,Alabama,1,1603,3787228,42.3
1977,Alaska,2,63,398155,15.8
1977,Arizona,4,871,2430816,35.8
1977,Arkansas,5,1022,2209528,46.3
1977,California,6,8902,22391026,39.8
1977,Colorado,8,650,2699679,24.1
1977,Connecticut,9,1312,3088150,42.5
1977,Delaware,10,274,595211,46.0
1977,District of Columbia,11,353,684187,51.6
1977,Florida,12,5264,8892351,59.2
1977,Georgia,13,1892,5215496,36.3
1977,Hawaii,15,231,918145,25.2
1977,Idaho,16,246,886153,27.8
1977,Illinois,17,4716,11419932,41.3
1977,Indiana,18,2233,5408867,41.3
1977,Iowa,19,1076,2917412,36.9
1977,Kansas,20,912,2322007,39.3
1977,Kentucky,21,1693,3579702,47.3
1977,Louisiana,22,1698,4024858,42.2
1977,Maine,23,490,1105892,44.3
1977,Maryland,24,1758,4195712,41.9
1977,Massachusetts,25,2426,5742562,42.2
1977,Michigan,26,3620,9160259,39.5
1977,Minnesota,27,1242,3982696,31.2
1977,Mississippi,28,1016,2463589,41.2
1977,Missouri,29,2163,4850784,44.6
1977,Montana,30,267,772784,34.6
1977,Nebraska,31,604,1556747,38.8
1977,Nevada,32,295,678842,43.5
1977,New Hampshire,33,377,871864,43.2
1977,New Jersey,34,3313,7342995,45.1
1977,New Mexico,35,289,1227515,23.5
1977,New York,36,7955,17862261,44.5
1977,North Carolina,37,2006,5672523,35.4
1977,North Dakota,38,154,650627,23.7
1977,Ohio,39,4761,10777225,44.2
1977,Oklahoma,40,1367,2869096,47.6
1977,Oregon,41,1036,2442459,42.4
1977,Pennsylvania,42,5256,11885806,44.2
1977,Rhode Island,44,483,955035,50.6
1977,South Carolina,45,1024,2992625,34.2
1977,South Dakota,46,239,690304,34.6
1977,Tennessee,47,1935,4406211,43.9
1977,Texas,48,4846,13210567,36.7
1977,Utah,49,172,1323369,13.0
1977,Vermont,50,210,492203,42.7
1977,Virginia,51,1993,5208958,38.3
1977,Washington,53,1576,3777227,41.7
1977,West Virginia,54,917,1907816,48.1
1977,Wisconsin,55,1571,4616214,34.0
1977,Wyoming,56,138,412756,33.4
1978,Alabama,1,1675,3836401,43.7
1978,Alaska,2,79,403301,19.6
1978,Arizona,4,936,2521569,37.1
1978,Arkansas,5,1085,2241861,48.4
1978,California,6,9355,22877677,40.9
1978,Colorado,8,738,2770305,26.6
1978,Connecticut,9,1270,3095187,41.0
1978,Delaware,10,270,598626,45.1
1978,District of Columbia,11,327,672100,48.7
1978,Florida,12,5782,9136789,63.3
1978,Georgia,13,2102,5289380,39.7
1978,Hawaii,15,234,930899,25.1
1978,Idaho,16,228,913257,25.0
1978,Illinois,17,4877,11444137,42.6
1978,Indiana,18,2367,5448023,43.4
